schemaVersion,recordType,source.name,job_url,title,content.company,content.date,content.is_remote,content.role_family,location,collectedAt
1.0,JOB,Jobicy,https://jobicy.com/jobs/150358-partner-sales-executive-anz-channel,"Partner Sales Executive, ANZ Channel",Tech,2026-09-10T04:30:31+00:00,True,Engineering,,2026-09-10T15:31:42.586277+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150400-commercial-sales-engineer-central,Commercial Sales Engineer – Central,Tech,2026-09-10T04:30:29+00:00,True,Engineering,,2026-09-10T15:31:42.586363+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/145745-it-associate,IT Associate,Tech,2026-09-10T04:30:28+00:00,True,Engineering,,2026-09-10T15:31:42.586434+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/145744-frontend-engineer-react-and-aws,Frontend Engineer React and AWS,Tech,2026-09-10T04:30:27+00:00,True,Engineering,,2026-09-10T15:31:42.586500+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150398-enterprise-sales-vp-public-sector,"Enterprise Sales VP, Public Sector",Tech,2026-09-10T04:30:25+00:00,True,Engineering,,2026-09-10T15:31:42.586568+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150387-mobility-specialist-apac,Mobility Specialist – APAC,Tech,2026-09-10T04:30:24+00:00,True,Engineering,,2026-09-10T15:31:42.586641+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150385-legal-consultant-ma,Legal Consultant – M&A,Tech,2026-09-10T04:30:23+00:00,True,Engineering,,2026-09-10T15:31:42.586713+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150404-senior-sales-engineer-majors-florida,"Senior Sales Engineer – Majors, Florida",Tech,2026-09-10T04:30:21+00:00,True,Engineering,,2026-09-10T15:31:42.586780+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150403-senior-sales-engineer-majors-georgia,"Senior Sales Engineer – Majors, Georgia",Tech,2026-09-10T04:30:20+00:00,True,Engineering,,2026-09-10T15:31:42.586856+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150343-customer-success-engineer,Customer Success Engineer,Tech,2026-09-10T04:30:19+00:00,True,Engineering,,2026-09-10T15:31:42.586922+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150353-legal-consultant-commercial-contract-fortune-500,"Legal Consultant – Commercial Contract, Fortune 500",Tech,2026-09-10T04:30:17+00:00,True,Engineering,,2026-09-10T15:31:42.586992+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/150401-senior-sales-engineer-majors-tola,"Senior Sales Engineer – Majors, TOLA",Tech,2026-09-10T04:30:16+00:00,True,Engineering,,2026-09-10T15:31:42.587058+00:00
